dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,year_week,cases_weekly,deaths_weekly,notification_rate_per_100000_population_14-days
10/01/2021,10,1,2021,44,111,Portugal,PT,PRT,10276617,Europe,NA,NA,NA,NA
09/01/2021,9,1,2021,44,118,Portugal,PT,PRT,10276617,Europe,NA,NA,NA,NA
08/01/2021,8,1,2021,38,95,Portugal,PT,PRT,10276617,Europe,NA,NA,NA,NA
07/01/2021,7,1,2021,27,7377,Portugal,PT,PRT,10276617,Europe,NA,NA,NA,NA
06/01/2021,6,1,2021,24,0,Portugal,PT,PRT,10276617,Europe,NA,NA,NA,NA
05/01/2021,5,1,2021,33,0,Portugal,PT,PRT,10276617,Europe,NA,NA,NA,NA
04/01/2021,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-53,30588,441,517.03
28/12/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-52,22545,543,466.32
21/12/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-51,25377,575,502.57
14/12/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-50,26270,596,524.93
07/12/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-49,27675,536,600.55
30/11/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-48,34041,530,754.12
23/11/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-47,43457,516,792.42
16/11/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-46,37977,485,709.96
09/11/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-45,34983,352,590.06
02/11/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-44,25655,228,432.34
26/10/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-43,18775,135,311.6
19/10/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-42,13247,101,210.81
12/10/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-41,8417,85,127.08
05/10/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-40,4643,42,94.1
28/09/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-39,5027,41,93.62
21/09/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-38,4594,45,80.95
14/09/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-37,3725,27,60.48
07/09/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-36,2490,21,45.36
31/08/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-35,2171,23,35.67
24/08/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-34,1495,18,28.5
17/08/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-33,1434,22,25.68
10/08/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-32,1205,18,24.37
03/08/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-31,1299,21,27.51
27/07/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-30,1528,28,35.54
20/07/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-29,2124,29,46.11
13/07/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-28,2615,46,47.35
06/07/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-27,2251,50,46.36
29/06/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-26,2513,34,48.23
22/06/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-25,2443,13,45.15
15/06/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-24,2197,38,40.77
08/06/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-23,1993,69,37.66
01/06/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-22,1877,94,33.71
25/05/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-21,1587,98,29.6
18/05/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-20,1455,83,34.17
11/05/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-19,2057,72,36.34
04/05/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-18,1678,135,51.75
27/04/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-17,3640,214,70.66
20/04/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-16,3621,210,86.88
13/04/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-15,5307,209,103.37
06/04/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-14,5316,176,94.17
30/03/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-13,4362,105,55.63
23/03/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-12,1355,14,15.28
16/03/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-11,215,0,2.38
09/03/2020,NA,NA,NA,NA,NA,Portugal,PT,PRT,10276617,Europe,2020-10,30,0,NA
